date,direction,entry_time,exit_time,entry_price,exit_price,stop,or_high,or_low,atr14,rel_vol,outcome,pnl_pts,risk_pts,r,year
2022-02-28,long,2022-02-28 14:34:00+00:00,2022-02-28 14:39:00+00:00,14111.7,14063.37,14063.37,14111.7,14038.7,483.2999999999999,1.1514360313315928,stop,-48.32999999999993,48.32999999999993,-1.0,2022
2022-03-01,long,2022-03-01 14:34:00+00:00,2022-03-01 14:45:00+00:00,14224.1,14176.496428571429,14176.496428571429,14224.1,14158.8,476.03571428571416,1.128012381162945,stop,-47.60357142857174,47.60357142857174,-1.0,2022
2022-03-02,short,2022-03-02 14:34:00+00:00,2022-03-02 14:43:00+00:00,14026.1,14076.00142857143,14076.00142857143,14091.4,14026.1,499.0142857142855,1.0222320052828529,stop,-49.90142857142928,49.90142857142928,-1.0,2022
2022-03-04,long,2022-03-04 14:34:00+00:00,2022-03-04 14:40:00+00:00,13985.2,13933.397857142858,13933.397857142858,13985.2,13937.2,518.0214285714283,1.0402780878272795,stop,-51.802142857142826,51.802142857142826,-1.0,2022
2022-03-08,short,2022-03-08 14:34:00+00:00,2022-03-08 14:35:00+00:00,13236.4,13288.91857142857,13288.91857142857,13315.6,13236.4,525.185714285714,1.0014391312880226,stop,-52.518571428570795,52.518571428570795,-1.0,2022
2022-03-10,short,2022-03-10 14:34:00+00:00,2022-03-10 14:56:00+00:00,13499.3,13553.83,13553.83,13578.2,13499.3,545.2999999999998,1.1490003277613898,stop,-54.530000000000655,54.530000000000655,-1.0,2022
2022-03-14,short,2022-03-14 13:34:00+00:00,2022-03-14 13:37:00+00:00,13220.4,13264.979285714286,13264.979285714286,13287.9,13220.4,445.79285714285703,1.0070152049011205,stop,-44.579285714286016,44.579285714286016,-1.0,2022
2022-03-15,long,2022-03-15 13:34:00+00:00,2022-03-15 14:13:00+00:00,13210.9,13166.410714285714,13166.410714285714,13210.9,13153.2,444.89285714285717,1.0317384522331519,stop,-44.48928571428587,44.48928571428587,-1.0,2022
2022-03-16,long,2022-03-16 13:34:00+00:00,2022-03-16 18:05:00+00:00,13660.9,13616.072142857143,13616.072142857143,13660.9,13616.1,448.2785714285714,1.0600892320349335,stop,-44.827857142856374,44.827857142856374,-1.0,2022
2022-03-23,short,2022-03-23 13:34:00+00:00,2022-03-23 14:07:00+00:00,14499.3,14541.187857142857,14541.187857142857,14551.3,14499.3,418.8785714285718,1.0496654912170849,stop,-41.88785714285768,41.88785714285768,-1.0,2022
2022-03-24,short,2022-03-24 13:34:00+00:00,2022-03-24 13:41:00+00:00,14492.4,14531.524285714286,14531.524285714286,14532.9,14492.4,391.24285714285753,1.0887265135699373,stop,-39.12428571428609,39.12428571428609,-1.0,2022
2022-03-28,long,2022-03-28 13:34:00+00:00,2022-03-28 14:28:00+00:00,14819.7,14785.843571428572,14785.843571428572,14819.7,14755.0,338.5642857142861,1.0554874508032774,stop,-33.856428571429205,33.856428571429205,-1.0,2022
2022-04-06,short,2022-04-06 13:34:00+00:00,2022-04-06 18:02:00+00:00,14594.8,14622.586428571427,14622.586428571427,14643.4,14594.8,277.86428571428587,1.0631159157575558,stop,-27.786428571427678,27.786428571427678,-1.0,2022
2022-04-07,long,2022-04-07 13:34:00+00:00,2022-04-07 13:44:00+00:00,14541.7,14512.713571428572,14512.713571428572,14541.7,14461.0,289.86428571428587,1.0570607821374942,stop,-28.986428571428405,28.986428571428405,-1.0,2022
2022-04-08,short,2022-04-08 13:34:00+00:00,2022-04-08 14:52:00+00:00,14404.7,14433.152142857143,14433.152142857143,14476.8,14404.7,284.52142857142877,1.1055282957147532,stop,-28.452142857142462,28.452142857142462,-1.0,2022
2022-04-11,short,2022-04-11 13:34:00+00:00,2022-04-11 13:36:00+00:00,14118.0,14145.817142857142,14145.817142857142,14178.8,14118.0,278.1714285714288,1.122073198454194,stop,-27.817142857142244,27.817142857142244,-1.0,2022
2022-04-12,short,2022-04-12 13:34:00+00:00,2022-04-12 13:39:00+00:00,14140.3,14169.022142857142,14169.022142857142,14201.3,14140.3,287.2214285714287,1.026981829876186,stop,-28.7221428571429,28.7221428571429,-1.0,2022
2022-04-14,long,2022-04-14 13:34:00+00:00,2022-04-14 13:36:00+00:00,14233.1,14202.099285714286,14202.099285714286,14233.1,14197.6,310.00714285714304,1.0542535701621483,stop,-31.00071428571391,31.00071428571391,-1.0,2022
2022-04-19,long,2022-04-19 13:34:00+00:00,2022-04-19 13:46:00+00:00,13927.2,13896.295,13896.295,13927.2,13856.4,309.05000000000047,1.0726336582364562,stop,-30.905000000000655,30.905000000000655,-1.0,2022
2022-04-20,short,2022-04-20 13:34:00+00:00,2022-04-20 19:59:00+00:00,14210.9,14007.9,14243.082857142857,14273.4,14210.9,321.8285714285718,1.0478040701933182,eod,203.0,32.182857142857756,6.307705965908971,2022
2022-04-25,long,2022-04-25 13:34:00+00:00,2022-04-25 13:44:00+00:00,13325.7,13291.154285714287,13291.154285714287,13325.7,13267.3,345.4571428571431,1.086628414618935,stop,-34.545714285713984,34.545714285713984,-1.0,2022
2022-04-26,short,2022-04-26 13:34:00+00:00,2022-04-26 19:59:00+00:00,13372.9,13012.4,13408.060714285713,13454.6,13372.9,351.6071428571431,1.02142768926763,eod,360.5,35.160714285713766,10.2529202640936,2022
2022-04-27,long,2022-04-27 13:34:00+00:00,2022-04-27 14:08:00+00:00,13120.6,13082.290714285715,13082.290714285715,13120.6,13015.6,383.0928571428573,1.0764933390631715,stop,-38.30928571428558,38.30928571428558,-1.0,2022
2022-04-28,long,2022-04-28 13:34:00+00:00,2022-04-28 19:59:00+00:00,13286.0,13466.9,13246.624285714286,13286.0,13202.9,393.75714285714287,1.0660483846365052,eod,180.89999999999964,39.37571428571391,4.594202372746107,2022
2022-04-29,long,2022-04-29 13:34:00+00:00,2022-04-29 13:37:00+00:00,13358.5,13318.310714285713,13318.310714285713,13358.5,13232.8,401.89285714285717,1.0953825617377586,stop,-40.1892857142866,40.1892857142866,-1.0,2022
2022-05-03,short,2022-05-03 13:34:00+00:00,2022-05-03 13:39:00+00:00,13009.2,13049.785,13049.785,13085.6,13009.2,405.84999999999985,1.0145483321158997,stop,-40.58499999999913,40.58499999999913,-1.0,2022
2022-05-05,short,2022-05-05 13:34:00+00:00,2022-05-05 19:59:00+00:00,13277.9,12863.9,13321.726428571428,13351.2,13277.9,438.2642857142855,1.040199023087892,eod,414.0,43.82642857142855,9.446354939126755,2022
2022-05-06,short,2022-05-06 13:34:00+00:00,2022-05-06 14:17:00+00:00,12685.5,12732.414285714285,12732.414285714285,12794.2,12685.5,469.142857142857,1.094636270182016,stop,-46.91428571428514,46.91428571428514,-1.0,2022
2022-05-09,long,2022-05-09 13:34:00+00:00,2022-05-09 13:40:00+00:00,12505.0,12461.282142857142,12461.282142857142,12505.0,12426.2,437.1785714285713,1.0344643175470913,stop,-43.71785714285761,43.71785714285761,-1.0,2022
2022-05-11,short,2022-05-11 13:34:00+00:00,2022-05-11 13:41:00+00:00,12185.2,12231.048571428571,12231.048571428571,12323.1,12185.2,458.4857142857142,1.098390407902175,stop,-45.84857142857072,45.84857142857072,-1.0,2022
2022-05-13,short,2022-05-13 13:34:00+00:00,2022-05-13 13:37:00+00:00,12093.2,12138.450714285715,12138.450714285715,12166.9,12093.2,452.50714285714287,1.0319086306369953,stop,-45.25071428571391,45.25071428571391,-1.0,2022
2022-05-19,long,2022-05-19 13:34:00+00:00,2022-05-19 13:43:00+00:00,11935.3,11891.369285714285,11891.369285714285,11935.3,11861.3,439.30714285714305,1.0932337565347274,stop,-43.9307142857142,43.9307142857142,-1.0,2022
2022-05-25,long,2022-05-25 13:34:00+00:00,2022-05-25 13:49:00+00:00,11794.0,11753.873571428572,11753.873571428572,11794.0,11707.5,401.264285714286,1.047495395392373,stop,-40.12642857142782,40.12642857142782,-1.0,2022
